file,system,rtf,der_percent,speaker_label_wer_percent,speaker_label_cer_percent,num_speakers,num_segments
vmaiq,Baseline,0.0452,9.133,10.405,6.166,10,141
vmaiq,Fine-tuned,0.044,8.003,9.459,5.57,10,112
fkvvo,Baseline,0.0431,5.927,7.664,3.507,7,53
fkvvo,Fine-tuned,0.0444,5.884,7.941,3.787,7,54
cmfyw,Baseline,0.043,13.192,14.566,10.324,7,83
cmfyw,Fine-tuned,0.0447,13.764,16.012,11.795,7,82
iwdjy,Baseline,0.0418,11.882,12.127,9.238,2,59
iwdjy,Fine-tuned,0.0427,11.459,11.775,9.126,2,48
azisu,Baseline,0.0428,7.863,10.283,5.652,3,41
azisu,Fine-tuned,0.0421,7.374,9.512,4.433,3,31
lfzib,Baseline,0.0442,8.985,4.586,3.361,9,47
lfzib,Fine-tuned,0.0441,8.827,4.938,3.706,9,41
sosnj,Baseline,0.0425,2.486,3.458,1.893,3,46
sosnj,Fine-tuned,0.0442,2.906,4.323,2.501,3,46
dhorc,Baseline,0.0423,0.675,1.98,1.711,4,24
dhorc,Fine-tuned,0.0429,0.39,1.485,1.23,4,23
ntchr,Baseline,0.0429,0.37,0.984,0.877,2,19
ntchr,Fine-tuned,0.0431,0.344,0.984,0.877,2,18
kckqn,Baseline,0.0422,3.323,5.0,2.279,3,24
kckqn,Fine-tuned,0.0433,3.453,5.143,2.301,3,22
asxwr,Baseline,0.0421,0.795,1.681,0.989,3,19
asxwr,Fine-tuned,0.0432,0.704,1.471,0.819,3,17
eziem,Baseline,0.0431,7.03,9.244,4.729,7,30
eziem,Fine-tuned,0.042,5.174,7.283,4.686,7,31
kszpd,Baseline,0.0418,5.077,7.453,4.15,4,24
kszpd,Fine-tuned,0.0423,4.623,7.453,3.564,4,26
abjxc,Baseline,0.0398,0.215,0.0,0.0,1,3
abjxc,Fine-tuned,0.0385,0.499,0.0,0.0,1,2
txcok,Baseline,0.0431,2.417,3.609,2.391,4,37
txcok,Fine-tuned,0.0427,2.382,3.842,2.409,4,32
